building_type,climate_zone,air_barrier,hvac_status,a,b,d
HighriseApartment,1,no,on,0.073582572,0.011714788,0.024808851
HighriseApartment,1,no,off,,,
HighriseApartment,2,no,on,0.077379506,0.013441623,0.016703738
HighriseApartment,2,no,off,,,
HighriseApartment,3,no,on,0.091355061,0.014458129,0.026462809
HighriseApartment,3,no,off,,,
HighriseApartment,4,no,on,0.105805517,0.01445399,0.021441131
HighriseApartment,4,no,off,,,
HighriseApartment,5,no,on,0.130191321,0.012865091,0.020562477
HighriseApartment,5,no,off,,,
HighriseApartment,6,no,on,0.107471924,0.011991097,0.013479168
HighriseApartment,6,no,off,,,
HighriseApartment,7,no,on,0.140144471,0.012127235,0.01674204
HighriseApartment,7,no,off,,,
HighriseApartment,8,no,on,0.123497939,0.013358545,0.021661499
HighriseApartment,8,no,off,,,
Hospital,1,no,on,0.0738,0.0000,0.0084
Hospital,1,no,off,,,
Hospital,2,no,on,0.0765,0.0003,0.0065
Hospital,2,no,off,,,
Hospital,3,no,on,0.0610,0.0021,0.0098
Hospital,3,no,off,,,
Hospital,4,no,on,0.0568,0.0023,0.0101
Hospital,4,no,off,,,
Hospital,5,no,on,0.0477,0.0028,0.0107
Hospital,5,no,off,,,
Hospital,6,no,on,0.0571,0.0020,0.0071
Hospital,6,no,off,,,
Hospital,7,no,on,0.0359,0.0033,0.0105
Hospital,7,no,off,,,
Hospital,8,no,on,0.0334,0.0044,0.0090
Hospital,8,no,off,,,
LargeHotel,1,no,on,0.2579,0.0194,0.0272
LargeHotel,1,no,off,,,
LargeHotel,2,no,on,0.2708,0.0146,0.0231
LargeHotel,2,no,off,,,
LargeHotel,3,no,on,0.3303,0.0039,0.0330
LargeHotel,3,no,off,,,
LargeHotel,4,no,on,0.3349,0.0041,0.0266
LargeHotel,4,no,off,,,
LargeHotel,5,no,on,0.3330,0.0049,0.0262
LargeHotel,5,no,off,,,
LargeHotel,6,no,on,0.3357,0.0037,0.0173
LargeHotel,6,no,off,,,
LargeHotel,7,no,on,0.3265,0.0059,0.0205
LargeHotel,7,no,off,,,
LargeHotel,8,no,on,0.2906,0.0084,0.0296
LargeHotel,8,no,off,,,
MediumOffice,1,no,on,-0.0198,-0.0016,0.0287
MediumOffice,1,no,off,0.0000,0.0125,0.0380
MediumOffice,2,no,on,-0.0103,-0.0007,0.0231
MediumOffice,2,no,off,0.0000,0.0164,0.0308
MediumOffice,3,no,on,-0.0451,0.0046,0.0327
MediumOffice,3,no,off,0.0000,0.0173,0.0398
MediumOffice,4,no,on,-0.0461,0.0053,0.0311
MediumOffice,4,no,off,0.0000,0.0174,0.0341
MediumOffice,5,no,on,-0.0445,0.0055,0.0295
MediumOffice,5,no,off,0.0000,0.0155,0.0344
MediumOffice,6,no,on,-0.0382,0.0042,0.0206
MediumOffice,6,no,off,0.0000,0.0139,0.0264
MediumOffice,7,no,on,-0.0506,0.0059,0.0263
MediumOffice,7,no,off,0.0000,0.0142,0.0298
MediumOffice,8,no,on,-0.0760,0.0077,0.0310
MediumOffice,8,no,off,0.0000,0.0143,0.0359
MidriseApartment,1,no,on,0.0567,0.0050,0.0373
MidriseApartment,1,no,off,,,
MidriseApartment,2,no,on,0.0543,0.0052,0.0282
MidriseApartment,2,no,off,,,
MidriseApartment,3,no,on,0.0647,0.0065,0.0415
MidriseApartment,3,no,off,,,
MidriseApartment,4,no,on,0.0716,0.0068,0.0342
MidriseApartment,4,no,off,,,
MidriseApartment,5,no,on,0.0917,0.0059,0.0328
MidriseApartment,5,no,off,,,
MidriseApartment,6,no,on,0.0697,0.0059,0.0216
MidriseApartment,6,no,off,,,
MidriseApartment,7,no,on,0.0892,0.0060,0.0274
MidriseApartment,7,no,off,,,
MidriseApartment,8,no,on,0.0641,0.0071,0.0364
MidriseApartment,8,no,off,,,
PrimarySchool,1,no,on,0.0072,-0.0008,0.0310
PrimarySchool,1,no,off,0.0000,0.0041,0.0427
PrimarySchool,2,no,on,0.0019,-0.0006,0.0298
PrimarySchool,2,no,off,0.0000,0.0052,0.0348
PrimarySchool,3,no,on,-0.0039,0.0031,0.0393
PrimarySchool,3,no,off,0.0000,0.0070,0.0515
PrimarySchool,4,no,on,-0.0028,0.0037,0.0336
PrimarySchool,4,no,off,0.0000,0.0073,0.0397
PrimarySchool,5,no,on,0.0025,0.0034,0.0340
PrimarySchool,5,no,off,0.0000,0.0066,0.0423
PrimarySchool,6,no,on,-0.0043,0.0030,0.0215
PrimarySchool,6,no,off,0.0000,0.0056,0.0305
PrimarySchool,7,no,on,0.0035,0.0036,0.0272
PrimarySchool,7,no,off,0.0000,0.0061,0.0361
PrimarySchool,8,no,on,-0.0153,0.0040,0.0392
PrimarySchool,8,no,off,0.0000,0.0057,0.0503
SecondarySchool,1,no,on,0.0973,0.0005,0.0839
SecondarySchool,1,no,off,0,0.0122,0.1089
SecondarySchool,2,no,on,0.0657,-0.0023,0.0853
SecondarySchool,2,no,off,0,0.0122,0.0965
SecondarySchool,3,no,on,0.0647,0.0078,0.1055
SecondarySchool,3,no,off,0,0.0168,0.1314
SecondarySchool,4,no,on,0.0725,0.0091,0.0893
SecondarySchool,4,no,off,0,0.0174,0.1016
SecondarySchool,5,no,on,0.1019,0.0077,0.0877
SecondarySchool,5,no,off,0,0.0156,0.1050
SecondarySchool,6,no,on,0.0798,0.0061,0.0590
SecondarySchool,6,no,off,0,0.0125,0.0779
SecondarySchool,7,no,on,0.1016,0.0084,0.0730
SecondarySchool,7,no,off,0,0.0144,0.0909
SecondarySchool,8,no,on,0.0316,0.0087,0.1116
SecondarySchool,8,no,off,0,0.0125,0.1272
SmallHotel,1,no,on,0.0450,0.0041,0.0079
SmallHotel,1,no,off,,,
SmallHotel,2,no,on,0.0410,0.0067,0.0053
SmallHotel,2,no,off,,,
SmallHotel,3,no,on,0.0269,0.0083,0.0096
SmallHotel,3,no,off,,,
SmallHotel,4,no,on,0.0287,0.0086,0.0086
SmallHotel,4,no,off,,,
SmallHotel,5,no,on,0.0403,0.0079,0.0078
SmallHotel,5,no,off,,,
SmallHotel,6,no,on,0.0283,0.0071,0.0062
SmallHotel,6,no,off,,,
SmallHotel,7,no,on,0.0404,0.0076,0.0069
SmallHotel,7,no,off,,,
SmallHotel,8,no,on,0.0266,0.0085,0.0090
SmallHotel,8,no,off,,,
SmallOffice,1,no,on,0.0495,-0.0018,0.1140
SmallOffice,1,no,off,0,0.0188,0.1349
SmallOffice,2,no,on,0.0302,-0.0023,0.1104
SmallOffice,2,no,off,0,0.0188,0.1209
SmallOffice,3,no,on,0.0209,0.0064,0.1297
SmallOffice,3,no,off,0,0.0179,0.1473
SmallOffice,4,no,on,0.0238,0.0078,0.1159
SmallOffice,4,no,off,0,0.0182,0.1187
SmallOffice,5,no,on,0.0431,0.0074,0.1096
SmallOffice,5,no,off,0,0.0164,0.1173
SmallOffice,6,no,on,0.0208,0.0068,0.0764
SmallOffice,6,no,off,0,0.0154,0.0784
SmallOffice,7,no,on,0.0488,0.0076,0.0920
SmallOffice,7,no,off,0,0.0152,0.0947
SmallOffice,8,no,on,-0.0298,0.0110,0.1311
SmallOffice,8,no,off,0,0.0166,0.1046
RetailStandalone,1,no,on,-0.0226,-0.0044,0.0429
RetailStandalone,1,no,off,0,0.0087,0.0577
RetailStandalone,2,no,on,-0.0048,-0.0014,0.0307
RetailStandalone,2,no,off,0,0.0097,0.0524
RetailStandalone,3,no,on,-0.0629,0.0072,0.0447
RetailStandalone,3,no,off,0,0.0111,0.0593
RetailStandalone,4,no,on,-0.0581,0.0073,0.0436
RetailStandalone,4,no,off,0,0.0112,0.0523
RetailStandalone,5,no,on,-0.0441,0.0066,0.0376
RetailStandalone,5,no,off,0,0.0100,0.0493
RetailStandalone,6,no,on,-0.0453,0.0054,0.0317
RetailStandalone,6,no,off,0,0.0086,0.0406
RetailStandalone,7,no,on,-0.0450,0.0063,0.0374
RetailStandalone,7,no,off,0,0.0093,0.0456
RetailStandalone,8,no,on,-0.0592,0.0069,0.0466
RetailStandalone,8,no,off,0,0.0087,0.0677
RetailStripmall,1,no,on,0.0306,-0.0021,0.0340
RetailStripmall,1,no,off,0,0.0127,0.0448
RetailStripmall,2,no,on,0.0228,-0.0016,0.0299
RetailStripmall,2,no,off,0,0.0100,0.0450
RetailStripmall,3,no,on,0.0037,0.0050,0.0460
RetailStripmall,3,no,off,0,0.0097,0.0596
RetailStripmall,4,no,on,0.0051,0.0059,0.0368
RetailStripmall,4,no,off,0,0.0100,0.0441
RetailStripmall,5,no,on,0.0164,0.0054,0.0360
RetailStripmall,5,no,off,0,0.0090,0.0471
RetailStripmall,6,no,on,0.0017,0.0048,0.0225
RetailStripmall,6,no,off,0,0.0081,0.0280
RetailStripmall,7,no,on,0.0070,0.0057,0.0292
RetailStripmall,7,no,off,0,0.0087,0.0362
RetailStripmall,8,no,on,-0.0187,0.0063,0.0446
RetailStripmall,8,no,off,0,0.0083,0.0591
HighriseApartment,1,yes,on,0.1009,0.0231,0.0243
HighriseApartment,1,yes,off,,,
HighriseApartment,2,yes,on,0.1237,0.0264,0.0119
HighriseApartment,2,yes,off,,,
HighriseApartment,3,yes,on,0.1282,0.0300,0.0269
HighriseApartment,3,yes,off,,,
HighriseApartment,4,yes,on,0.1565,0.0292,0.0221
HighriseApartment,4,yes,off,,,
HighriseApartment,5,yes,on,0.1915,0.0264,0.0207
HighriseApartment,5,yes,off,,,
HighriseApartment,6,yes,on,0.1689,0.0232,0.0143
HighriseApartment,6,yes,off,,,
HighriseApartment,7,yes,on,0.2230,0.0240,0.0172
HighriseApartment,7,yes,off,,,
HighriseApartment,8,yes,on,0.2202,0.0247,0.0234
HighriseApartment,8,yes,off,,,
Hospital,1,yes,on,0.1436,-0.0001,0.0050
Hospital,1,yes,off,,,
Hospital,2,yes,on,0.1467,-0.0001,0.0032
Hospital,2,yes,off,,,
Hospital,3,yes,on,0.1402,0.0006,0.0048
Hospital,3,yes,off,,,
Hospital,4,yes,on,0.1419,0.0005,0.0041
Hospital,4,yes,off,,,
Hospital,5,yes,on,0.1397,0.0007,0.0045
Hospital,5,yes,off,,,
Hospital,6,yes,on,0.1419,0.0006,0.0024
Hospital,6,yes,off,,,
Hospital,7,yes,on,0.1368,0.0008,0.0045
Hospital,7,yes,off,,,
Hospital,8,yes,on,0.1364,0.0012,0.0040
Hospital,8,yes,off,,,
LargeHotel,1,yes,on,0.4747,0.0321,0.0342
LargeHotel,1,yes,off,,,
LargeHotel,2,yes,on,0.4996,0.0233,0.0303
LargeHotel,2,yes,off,,,
LargeHotel,3,yes,on,0.6051,0.0049,0.0385
LargeHotel,3,yes,off,,,
LargeHotel,4,yes,on,0.6081,0.0053,0.0315
LargeHotel,4,yes,off,,,
LargeHotel,5,yes,on,0.5926,0.0076,0.0304
LargeHotel,5,yes,off,,,
LargeHotel,6,yes,on,0.6105,0.0046,0.0215
LargeHotel,6,yes,off,,,
LargeHotel,7,yes,on,0.5760,0.0095,0.0236
LargeHotel,7,yes,off,,,
LargeHotel,8,yes,on,0.5185,0.0141,0.0342
LargeHotel,8,yes,off,,,
MediumOffice,1,yes,on,-0.0249,-0.0014,0.0161
MediumOffice,1,yes,off,0,0.0129,0.0383
MediumOffice,2,yes,on,-0.0092,-0.0005,0.0116
MediumOffice,2,yes,off,0,0.0169,0.0314
MediumOffice,3,yes,on,-0.0403,0.0016,0.0190
MediumOffice,3,yes,off,0,0.0176,0.0402
MediumOffice,4,yes,on,-0.0453,0.0018,0.0197
MediumOffice,4,yes,off,0,0.0177,0.0342
MediumOffice,5,yes,on,-0.0634,0.0024,0.0219
MediumOffice,5,yes,off,0,0.0156,0.0347
MediumOffice,6,yes,on,-0.0328,0.0011,0.0145
MediumOffice,6,yes,off,0,0.0141,0.0265
MediumOffice,7,yes,on,-0.0675,0.0025,0.0208
MediumOffice,7,yes,off,0,0.0143,0.0301
MediumOffice,8,yes,on,-0.0569,0.0033,0.0167
MediumOffice,8,yes,off,0,0.0144,0.0359
MidriseApartment,1,yes,on,0.0660,0.0073,0.0402
MidriseApartment,1,yes,off,,,
MidriseApartment,2,yes,on,0.0709,0.0088,0.0265
MidriseApartment,2,yes,off,,,
MidriseApartment,3,yes,on,0.0748,0.0117,0.0436
MidriseApartment,3,yes,off,,,
MidriseApartment,4,yes,on,0.0865,0.0120,0.0356
MidriseApartment,4,yes,off,,,
MidriseApartment,5,yes,on,0.1116,0.0106,0.0340
MidriseApartment,5,yes,off,,,
MidriseApartment,6,yes,on,0.0877,0.0097,0.0233
MidriseApartment,6,yes,off,,,
MidriseApartment,7,yes,on,0.1141,0.0103,0.0282
MidriseApartment,7,yes,off,,,
MidriseApartment,8,yes,on,0.0938,0.0111,0.0388
MidriseApartment,8,yes,off,,,
PrimarySchool,1,yes,on,-0.0028,-0.0007,0.0278
PrimarySchool,1,yes,off,0,0.0041,0.0426
PrimarySchool,2,yes,on,-0.0031,-0.0005,0.0252
PrimarySchool,2,yes,off,0,0.0052,0.0347
PrimarySchool,3,yes,on,-0.0140,0.0022,0.0372
PrimarySchool,3,yes,off,0,0.0070,0.0514
PrimarySchool,4,yes,on,-0.0146,0.0027,0.0326
PrimarySchool,4,yes,off,0,0.0073,0.0396
PrimarySchool,5,yes,on,-0.0134,0.0027,0.0333
PrimarySchool,5,yes,off,0,0.0065,0.0421
PrimarySchool,6,yes,on,-0.0134,0.0022,0.0201
PrimarySchool,6,yes,off,0,0.0056,0.0305
PrimarySchool,7,yes,on,-0.0144,0.0030,0.0267
PrimarySchool,7,yes,off,0,0.0060,0.0360
PrimarySchool,8,yes,on,-0.0317,0.0035,0.0365
PrimarySchool,8,yes,off,0,0.0057,0.0501
SecondarySchool,1,yes,on,0.1024,0.0002,0.0870
SecondarySchool,1,yes,off,0,0.0125,0.1131
SecondarySchool,2,yes,on,0.0689,-0.0025,0.0888
SecondarySchool,2,yes,off,0,0.0128,0.0998
SecondarySchool,3,yes,on,0.0659,0.0087,0.1106
SecondarySchool,3,yes,off,0,0.0178,0.1374
SecondarySchool,4,yes,on,0.0732,0.0102,0.0936
SecondarySchool,4,yes,off,0,0.0185,0.1063
SecondarySchool,5,yes,on,0.1046,0.0087,0.0920
SecondarySchool,5,yes,off,0,0.0165,0.1100
SecondarySchool,6,yes,on,0.0822,0.0068,0.0617
SecondarySchool,6,yes,off,0,0.0132,0.0816
SecondarySchool,7,yes,on,0.1056,0.0093,0.0765
SecondarySchool,7,yes,off,0,0.0152,0.0955
SecondarySchool,8,yes,on,0.0325,0.0095,0.1177
SecondarySchool,8,yes,off,0,0.0132,0.1338
SmallHotel,1,yes,on,0.0527,0.0035,0.0068
SmallHotel,1,yes,off,,,
SmallHotel,2,yes,on,0.0467,0.0057,0.0049
SmallHotel,2,yes,off,,,
SmallHotel,3,yes,on,0.0312,0.0065,0.0089
SmallHotel,3,yes,off,,,
SmallHotel,4,yes,on,0.0296,0.0069,0.0082
SmallHotel,4,yes,off,,,
SmallHotel,5,yes,on,0.0336,0.0067,0.0076
SmallHotel,5,yes,off,,,
SmallHotel,6,yes,on,0.0271,0.0057,0.0060
SmallHotel,6,yes,off,,,
SmallHotel,7,yes,on,0.0273,0.0068,0.0068
SmallHotel,7,yes,off,,,
SmallHotel,8,yes,on,0.0128,0.0076,0.0088
SmallHotel,8,yes,off,,,
SmallOffice,1,yes,on,0.0464,-0.0018,0.1126
SmallOffice,1,yes,off,0,0.0193,0.1332
SmallOffice,2,yes,on,0.0291,-0.0024,0.1083
SmallOffice,2,yes,off,0,0.0195,0.1187
SmallOffice,3,yes,on,0.0169,0.0067,0.1280
SmallOffice,3,yes,off,0,0.0186,0.1446
SmallOffice,4,yes,on,0.0196,0.0081,0.1141
SmallOffice,4,yes,off,0,0.0188,0.1160
SmallOffice,5,yes,on,0.0391,0.0078,0.1078
SmallOffice,5,yes,off,0,0.0170,0.1145
SmallOffice,6,yes,on,0.0162,0.0072,0.0752
SmallOffice,6,yes,off,0,0.0161,0.0755
SmallOffice,7,yes,on,0.0446,0.0079,0.0902
SmallOffice,7,yes,off,0,0.0158,0.0913
SmallOffice,8,yes,on,-0.0358,0.0115,0.1295
SmallOffice,8,yes,off,0,0.0174,0.1001
RetailStandalone,1,yes,on,-0.0815,-0.0038,0.0455
RetailStandalone,1,yes,off,0,0.0125,0.0817
RetailStandalone,2,yes,on,-0.0550,-0.0017,0.0364
RetailStandalone,2,yes,off,0,0.0139,0.0742
RetailStandalone,3,yes,on,-0.1410,0.0089,0.0527
RetailStandalone,3,yes,off,0,0.0157,0.0842
RetailStandalone,4,yes,on,-0.1411,0.0086,0.0527
RetailStandalone,4,yes,off,0,0.0159,0.0742
RetailStandalone,5,yes,on,-0.1360,0.0082,0.0481
RetailStandalone,5,yes,off,0,0.0142,0.0700
RetailStandalone,6,yes,on,-0.1222,0.0064,0.0373
RetailStandalone,6,yes,off,0,0.0122,0.0576
RetailStandalone,7,yes,on,-0.1413,0.0079,0.0475
RetailStandalone,7,yes,off,0,0.0132,0.0648
RetailStandalone,8,yes,on,-0.1569,0.0088,0.0567
RetailStandalone,8,yes,off,0,0.0123,0.0960
RetailStripmall,1,yes,on,0.0395,-0.0026,0.0338
RetailStripmall,1,yes,off,0,0.0154,0.0473
RetailStripmall,2,yes,on,0.0413,-0.0027,0.0279
RetailStripmall,2,yes,off,0,0.0118,0.0508
RetailStripmall,3,yes,on,0.0043,0.0059,0.0477
RetailStripmall,3,yes,off,0,0.0112,0.0661
RetailStripmall,4,yes,on,0.0029,0.0069,0.0387
RetailStripmall,4,yes,off,0,0.0114,0.0486
RetailStripmall,5,yes,on,0.0128,0.0065,0.0382
RetailStripmall,5,yes,off,0,0.0103,0.0523
RetailStripmall,6,yes,on,-0.0018,0.0055,0.0238
RetailStripmall,6,yes,off,0,0.0093,0.0312
RetailStripmall,7,yes,on,0.0002,0.0069,0.0314
RetailStripmall,7,yes,off,0,0.0100,0.0402
RetailStripmall,8,yes,on,-0.0262,0.0073,0.0486
RetailStripmall,8,yes,off,0,0.0094,0.0667
